DATE,SentimentScore
2020-04-01,-2.147605848846139
2020-04-02,-2.2755339149154388
2020-04-03,-2.190578665943376
2020-04-04,-2.21638403171999
2020-04-05,-2.340413407028365
2020-04-06,-2.135444533321972
2020-04-07,-1.909249028778867
2020-04-08,-1.9525703290370175
2020-04-09,-2.1049959823420576
2020-04-10,-1.9858399689566284
2020-04-11,-2.212261817114589
2020-04-12,-2.182700509956055
2020-04-13,-2.0736929862989766
2020-04-14,-1.9241205609960754
2020-04-15,-1.9735649966806807
2020-04-16,-2.0801737183790756
2020-04-17,-2.0669668896669284
2020-04-18,-2.159520548425445
2020-04-19,-2.294940158090613
2020-04-20,-2.031461327342962
2020-04-21,-2.0146723800375392
2020-04-22,-1.902970683464021
2020-04-23,-1.9884771057209352
2020-04-24,-1.8693009683223785
2020-04-25,-1.989477528050145
2020-04-26,-2.065325629433002
2020-04-27,-1.7055831187307102
2020-04-28,-1.82088256114213
2020-04-29,-1.8144114753138667
2020-04-30,-1.9495703844480776
