DATE,SentimentScore
2019-04-01,-1.1938493544451878
2019-04-02,-1.209754734193834
2019-04-03,-1.0604367068146592
2019-04-04,-1.1320756982059306
2019-04-05,-1.2934568851890609
2019-04-06,-1.3815282508473272
2019-04-07,-1.318145713468185
2019-04-08,-1.306744489754893
2019-04-09,-1.375964786710047
2019-04-10,-1.1226619925396257
2019-04-11,-1.5142709657853968
2019-04-12,-1.4799975209709633
2019-04-13,-1.4632846726460735
2019-04-14,-1.2250350096132019
2019-04-15,-1.3313544912858504
2019-04-16,-1.0594736471102226
2019-04-17,-1.0719765201824314
2019-04-18,-1.1972839777888422
2019-04-19,-1.4595353663739083
2019-04-20,-1.6647706451414561
2019-04-21,-1.8678024673031406
2019-04-22,-1.7015222333188016
2019-04-23,-1.4414598708620314
2019-04-24,-1.4004175310062572
2019-04-25,-0.9619898369785899
2019-04-26,-1.0884567332214865
2019-04-27,-1.2695662261381448
2019-04-28,-2.027195497421385
2019-04-29,-1.3268609690134703
2019-04-30,-1.1106983398212047
