DATE,SentimentScore
2025-03-01,-1.2552842970372857
2025-03-02,-0.9519682449588883
2025-03-03,-0.7199486688475493
2025-03-04,-1.2946851309255258
2025-03-05,-1.4976403646131466
2025-03-06,-1.382930612955494
2025-03-07,-1.4066322381392116
2025-03-08,-1.4293579128429543
2025-03-09,-1.7730734708095248
2025-03-10,-1.5943311472427089
2025-03-11,-1.6853038029985592
2025-03-12,-1.4683964152967988
2025-03-13,-1.744641778171812
2025-03-14,-1.8089005128009596
2025-03-15,-1.950571615872696
2025-03-16,-2.203936862006734
2025-03-17,-1.719431638061196
2025-03-18,-1.5744748432554376
2025-03-19,-1.8067738539927496
2025-03-20,-1.5072296376861638
2025-03-21,-1.4272395520193337
2025-03-22,-1.6615025392893048
2025-03-23,-1.837812214511586
2025-03-24,-1.407791583428467
2025-03-25,-1.5287347946644814
2025-03-26,-1.6700329514213623
2025-03-27,-1.6049266149175991
2025-03-28,-1.5393970605371892
2025-03-29,-1.6461257395417135
2025-03-30,-1.4945810766960224
2025-03-31,-1.6411764515530127
