DATE,SentimentScore
2019-05-01,-1.009645149795495
2019-05-02,-1.176040566866766
2019-05-03,-1.1018682734473608
2019-05-04,-1.4401967357489949
2019-05-05,-1.2571026447031517
2019-05-06,-1.5841001176545013
2019-05-07,-1.3530429341463726
2019-05-08,-1.6435469297149647
2019-05-09,-1.5528051947448072
2019-05-10,-1.4724769778635944
2019-05-11,-1.3706375982500936
2019-05-12,-1.3397936722907189
2019-05-13,-1.5289924515245377
2019-05-14,-1.3976979820253987
2019-05-15,-1.572598571581177
2019-05-16,-1.510855592399561
2019-05-17,-1.3483640602347597
2019-05-18,-1.8652120954141667
2019-05-19,-1.6394447949309379
2019-05-20,-1.6418989806282622
2019-05-21,-1.6038423381631923
2019-05-22,-1.535065198489626
2019-05-23,-1.4462620084517168
2019-05-24,-1.346416806038096
2019-05-25,-1.3879916172936977
2019-05-26,-1.0630851653031248
2019-05-27,-0.9040659419079867
2019-05-28,-1.42257089283597
2019-05-29,-1.452475211133923
2019-05-30,-1.4099666115244225
2019-05-31,-1.7782705467559266
