DATE,SentimentScore
2020-09-01,-1.4296562340549004
2020-09-02,-1.3968795345002492
2020-09-03,-1.384444611650963
2020-09-04,-1.4647723496243
2020-09-05,-1.7403304861451472
2020-09-06,-1.9130418497803854
2020-09-07,-1.500723231664492
2020-09-08,-1.351088174492292
2020-09-09,-1.302986295268857
2020-09-10,-1.3773239961012353
2020-09-11,-1.4751372621496865
2020-09-12,-1.7620993282727704
2020-09-13,-1.872515628999795
2020-09-14,-1.3709392405321157
2020-09-15,-1.3012502581420442
2020-09-16,-1.2437496622402047
2020-09-17,-1.217231513890794
2020-09-18,-1.3286781492570263
2020-09-19,-1.3248965506040857
2020-09-20,-1.4047296178620916
2020-09-21,-1.1728654972203572
2020-09-22,-1.1903293427295012
2020-09-23,-1.1324082063794823
2020-09-24,-1.3155490328652828
2020-09-25,-1.323237688765294
2020-09-26,-1.5819720692639967
2020-09-27,-1.622699110582864
2020-09-28,-1.3304876593748471
2020-09-29,-1.2903743901896991
2020-09-30,-1.4216946040349712
