DATE,SentimentScore
2024-08-01,-1.4252883402413146
2024-08-02,-1.350878123056642
2024-08-03,-2.033010146802775
2024-08-04,-2.1716464153302573
2024-08-05,-2.015907660393598
2024-08-06,-1.486610573601124
2024-08-07,-1.2139060413121545
2024-08-08,-1.3390206831583495
2024-08-09,-1.3861051005074405
2024-08-10,-1.5558832734215935
2024-08-11,-1.6111555815270333
2024-08-12,-1.452599056997425
2024-08-13,-1.4609621692621568
2024-08-14,-1.3839839219791181
2024-08-15,-1.3521784734820603
2024-08-16,-1.1874759883905046
2024-08-17,-1.4538950108659663
2024-08-18,-1.3842600175396995
2024-08-19,-1.114226808858143
2024-08-20,-1.0726280520443408
2024-08-21,-1.0664436789851541
2024-08-22,-0.9117026181046891
2024-08-23,-1.057594510771715
2024-08-24,-1.5295010395709474
2024-08-25,-2.0391365468805676
2024-08-26,-1.4907971435070524
2024-08-27,-1.3248711068604313
2024-08-28,-1.273736182594588
2024-08-29,-1.2911393091095944
2024-08-30,-1.2074392121784014
2024-08-31,-1.3633560149100887
