DATE,SentimentScore
2020-08-01,-1.872525240553263
2020-08-02,-1.8769941536078911
2020-08-03,-1.5556120300439797
2020-08-04,-1.5930446465642691
2020-08-05,-1.57001177588049
2020-08-06,-1.6197321308533628
2020-08-07,-1.693870794568315
2020-08-08,-2.092266254923991
2020-08-09,-1.990533294887266
2020-08-10,-1.620053051411621
2020-08-11,-1.554227030570083
2020-08-12,-1.3860038610345362
2020-08-13,-1.3295580541620522
2020-08-14,-1.5103194549144479
2020-08-15,-1.5370513038466262
2020-08-16,-1.6747647360877338
2020-08-17,-1.4079173359582924
2020-08-18,-1.3701170645697618
2020-08-19,-1.2956557111334384
2020-08-20,-1.5427188293489102
2020-08-21,-1.655119698270052
2020-08-22,-1.8219450970000413
2020-08-23,-1.996221069094672
2020-08-24,-1.580449554527213
2020-08-25,-1.5199765194062063
2020-08-26,-1.6335666240735665
2020-08-27,-1.7150251357261113
2020-08-28,-1.7246514603385625
2020-08-29,-1.7634440206978028
2020-08-30,-1.9012983134912704
2020-08-31,-1.5654783013720508
