DATE,SentimentScore
2022-10-01,-1.5112776823913985
2022-10-02,-1.4475487808995176
2022-10-03,-1.1047768990064024
2022-10-04,-1.008681984075935
2022-10-05,-1.0392260000678917
2022-10-06,-1.1521287595498624
2022-10-07,-1.122461086430769
2022-10-08,-1.4324170148104207
2022-10-09,-1.4231110608424196
2022-10-10,-1.1862828151157634
2022-10-11,-1.0244402309157254
2022-10-12,-0.9610812787068466
2022-10-13,-1.0357398877493622
2022-10-14,-1.2199574951417846
2022-10-15,-1.3483408863789534
2022-10-16,-1.3516425634447808
2022-10-17,-1.056915928128145
2022-10-18,-1.0013223417147994
2022-10-19,-0.9321545698398781
2022-10-20,-1.0514786958849853
2022-10-21,-1.1197025083214762
2022-10-22,-1.4291325245049045
2022-10-23,-1.2788444912505845
2022-10-24,-1.0848309274651518
2022-10-25,-0.9588511045888891
2022-10-26,-0.9109622366876237
2022-10-27,-0.9071017022540528
2022-10-28,-1.1728607605113652
2022-10-29,-1.5767603411128348
2022-10-30,-1.5118623344544921
2022-10-31,-1.159766419450566
