DATE,SentimentScore
2020-02-01,-1.5273152244076291
2020-02-02,-1.5225611132982324
2020-02-03,-1.213305629927042
2020-02-04,-1.1799188936899503
2020-02-05,-1.2756854490966218
2020-02-06,-1.2910720936522464
2020-02-07,-1.3371377746738236
2020-02-08,-1.4924853636333304
2020-02-09,-1.6341100988693908
2020-02-10,-1.1219369195274569
2020-02-11,-1.1662341154254303
2020-02-12,-1.1225963691630199
2020-02-13,-1.121646153935042
2020-02-14,-1.2755930654172296
2020-02-15,-1.526170255528847
2020-02-16,-1.3945454197217475
2020-02-17,-1.2540489497844989
2020-02-18,-1.2725357825069126
2020-02-19,-1.1672113303618636
2020-02-20,-1.2534530014683405
2020-02-21,-1.2774386485161493
2020-02-22,-1.4229586681843978
2020-02-23,-1.1991320560840506
2020-02-24,-1.31268232782961
2020-02-25,-1.3766125295497909
2020-02-26,-1.3811939040134125
2020-02-27,-1.395943878026642
2020-02-28,-1.512977744036991
2020-02-29,-1.6444902155412315
