DATE,SentimentScore
2018-02-01,-1.068992915471042
2018-02-02,-1.2506395843040345
2018-02-03,-1.5663280898689673
2018-02-04,-1.637717558851948
2018-02-05,-1.2297818559176585
2018-02-06,-1.3808900070228687
2018-02-07,-1.163581894622586
2018-02-08,-1.1706055024132547
2018-02-09,-1.290949543164987
2018-02-10,-1.6532475825449942
2018-02-11,-1.5855420975844454
2018-02-12,-1.2612859389178317
2018-02-13,-1.2587345741459495
2018-02-14,-1.1998943171820324
2018-02-15,-1.5000491257430781
2018-02-16,-1.5231546178541995
2018-02-17,-1.7887458473184321
2018-02-18,-1.6470642876680517
2018-02-19,-1.330971784956931
2018-02-20,-1.3096327333110225
2018-02-21,-1.3052111601428378
2018-02-22,-1.3279910038771823
2018-02-23,-1.5824462729518738
2018-02-24,-1.7128186411603377
2018-02-25,-1.4027074155101202
2018-02-26,-1.1913471588316353
2018-02-27,-1.2722136574862166
2018-02-28,-1.3051087941585937
