DATE,SentimentScore
2021-02-01,-1.0532010223138268
2021-02-02,-1.0893092958762873
2021-02-03,-1.0646619551879581
2021-02-04,-1.2732094639632918
2021-02-05,-1.2615383800475026
2021-02-06,-1.4781047185800418
2021-02-07,-1.4503055213138565
2021-02-08,-1.118798317469815
2021-02-09,-1.2746788467942693
2021-02-10,-1.2948514362330001
2021-02-11,-1.2646321661006557
2021-02-12,-1.369259311077378
2021-02-13,-1.93265089716005
2021-02-14,-1.9283951437171187
2021-02-15,-1.1812104618166173
2021-02-16,-1.1859655160891367
2021-02-17,-1.1393420708191973
2021-02-18,-1.233453138046378
2021-02-19,-1.2007354349609192
2021-02-20,-1.6389948202116795
2021-02-21,-1.5854041057743393
2021-02-22,-1.2192753485770695
2021-02-23,-1.2310462882652071
2021-02-24,-1.1559078212983687
2021-02-25,-1.0612540353746556
2021-02-26,-1.1055769425651725
2021-02-27,-1.2531217465039186
2021-02-28,-1.4004902753165995
