DATE,SentimentScore
2022-11-01,-0.9177711420261261
2022-11-02,-0.925126726927768
2022-11-03,-1.0757502397138246
2022-11-04,-1.0807491837557486
2022-11-05,-1.4550751755355036
2022-11-06,-1.2372507220384206
2022-11-07,-0.9076405993960946
2022-11-08,-0.7817082441136132
2022-11-09,-0.8503274357114095
2022-11-11,-0.9886528550579562
2022-11-12,-0.9053332868585818
2022-11-13,-0.9847737140934015
2022-11-14,-0.7176038045358363
2022-11-15,-0.7930019199444805
2022-11-16,-0.8674406008124033
2022-11-17,-0.8774611217345365
2022-11-18,-0.9206252938263213
2022-11-19,-1.0387432337958675
2022-11-20,-1.2417739883593277
2022-11-21,-0.8586043966225644
2022-11-22,-0.9476800360814209
2022-11-23,-1.0230233474974322
2022-11-24,-0.9484904057896093
2022-11-25,-0.9174722665929228
2022-11-26,-1.0935299889303276
2022-11-27,-1.0802439920398286
2022-11-28,-0.9986525010860079
2022-11-29,-0.9656264923458902
2022-11-30,-0.9079194633110305
