DATE,SentimentScore
2024-09-01,-1.2392796717122787
2024-09-02,-1.0377287464050156
2024-09-03,-1.1806557896528382
2024-09-04,-1.1944307983148985
2024-09-05,-1.0452864135924518
2024-09-06,-1.2191824700721867
2024-09-07,-1.3030611930129332
2024-09-08,-1.3324030095725758
2024-09-09,-1.1566533828569963
2024-09-10,-1.1329608405387699
2024-09-11,-1.5258930779747681
2024-09-12,-1.26112840946342
2024-09-13,-1.3040438402989634
2024-09-14,-1.3712765055431184
2024-09-15,-1.353571387947046
2024-09-16,-1.1203156972167676
2024-09-17,-1.4749487390419678
2024-09-18,-1.321202744358022
2024-09-19,-1.2151322435941587
2024-09-20,-1.236997617809951
2024-09-21,-1.5780370855647443
2024-09-22,-1.2995676315160685
2024-09-23,-1.1290004884665412
2024-09-24,-1.2349638720959326
2024-09-25,-1.3876182799449448
2024-09-26,-1.3176272261045971
2024-09-27,-1.4225982176101475
2024-09-28,-1.9139575659620023
2024-09-29,-1.5498238578613244
2024-09-30,-1.3034043575811944
