DATE,SentimentScore
2018-05-01,-1.079840607627495
2018-05-02,-1.1417663764052586
2018-05-03,-1.2401956865948212
2018-05-04,-1.2892812526137734
2018-05-05,-1.5193666761824576
2018-05-06,-1.481630131681934
2018-05-07,-1.1996919586647432
2018-05-08,-1.161311592208802
2018-05-09,-1.0782075204965993
2018-05-10,-1.157762655298586
2018-05-11,-1.2132707920813177
2018-05-12,-1.2792530222478784
2018-05-13,-1.568739495300369
2018-05-14,-1.2398452320729751
2018-05-15,-1.3506039497397637
2018-05-16,-1.1704046520709506
2018-05-17,-1.143797016198737
2018-05-18,-1.4229045069218342
2018-05-19,-1.0857415416610128
2018-05-20,-1.1212880534652614
2018-05-21,-1.099755650454494
2018-05-22,-1.1647698826791384
2018-05-23,-1.0951431286270232
2018-05-24,-1.1986397227076542
2018-05-25,-1.4084914353010836
2018-05-26,-1.4413827446693148
2018-05-27,-1.1991673149484776
2018-05-28,-1.2777957397096005
2018-05-29,-1.3066328859697947
2018-05-30,-1.3287921143379204
2018-05-31,-1.2134382084108604
