DATE,SentimentScore
2019-08-01,-1.3580040306676684
2019-08-02,-1.4978465747412264
2019-08-03,-1.7798062477886083
2019-08-04,-2.28660659536359
2019-08-05,-1.9784900146143076
2019-08-06,-1.7043835486217391
2019-08-07,-1.5761186941011986
2019-08-08,-1.4297545093375705
2019-08-09,-1.4948743331873877
2019-08-10,-2.037380961634524
2019-08-11,-1.9735141876834963
2019-08-12,-1.5260130243534
2019-08-13,-1.556694216886156
2019-08-14,-1.562286576100582
2019-08-15,-1.4206619284201532
2019-08-16,-1.488914166910621
2019-08-17,-1.6480431593739324
2019-08-18,-1.8753017039780695
2019-08-19,-1.4251482940396867
2019-08-20,-1.3858313184977213
2019-08-21,-1.3014773370238892
2019-08-22,-1.2297099629680368
2019-08-23,-1.4915327969174397
2019-08-24,-1.6715103739108037
2019-08-25,-1.5320090795853578
2019-08-26,-1.339420466552007
2019-08-27,-1.2469329094401482
2019-08-28,-1.3005445051144324
2019-08-29,-1.2715010837670386
2019-08-30,-1.4240776549442067
2019-08-31,-1.8543394566934879
