DATE,SentimentScore
2020-07-01,-1.3557465840780762
2020-07-02,-1.4228967488958395
2020-07-03,-1.5379563710057818
2020-07-04,-1.7119854707693936
2020-07-05,-1.735720328304706
2020-07-06,-1.4816725246274252
2020-07-07,-1.4622666124397323
2020-07-08,-1.4384151173475872
2020-07-09,-1.4423234000832579
2020-07-10,-1.6069897181897568
2020-07-11,-1.9664237044947814
2020-07-12,-1.8495777088502978
2020-07-13,-1.639093967896946
2020-07-14,-1.7088208716570776
2020-07-15,-1.434329049753276
2020-07-16,-1.5037447296820674
2020-07-17,-1.5362850800858645
2020-07-18,-1.7442587818049022
2020-07-19,-1.972597548758797
2020-07-20,-1.5068591161879306
2020-07-21,-1.5421854983586685
2020-07-22,-1.6055108432530822
2020-07-23,-1.5704738900921653
2020-07-24,-1.6186219428828605
2020-07-25,-1.9948380108846555
2020-07-26,-1.9492647957718576
2020-07-27,-1.5347719348929159
2020-07-28,-1.4827219236334312
2020-07-29,-1.433624627416595
2020-07-30,-1.5271417606227475
2020-07-31,-1.7112658418939333
