DATE,SentimentScore
2019-06-01,-1.514645547707632
2019-06-02,-1.333743961528973
2019-06-03,-1.1594949485084813
2019-06-04,-1.2326942220999093
2019-06-05,-1.1400108014946448
2019-06-06,-1.1540991102140286
2019-06-07,-1.228371272175978
2019-06-08,-1.2684875196843546
2019-06-09,-1.291657939059333
2019-06-10,-1.1784526393991426
2019-06-11,-1.217656023718772
2019-06-12,-1.3047721396462042
2019-06-13,-1.2951377480268687
2019-06-14,-1.2616099705531363
2019-06-15,-1.5074868791329725
2019-06-16,-1.5124820617796395
2019-06-17,-1.2104785949233405
2019-06-18,-1.2465729780634458
2019-06-19,-0.9725174707418346
2019-06-20,-1.263224152195514
2019-06-21,-1.4194396359363228
2019-06-22,-1.6919870709110767
2019-06-23,-1.6423971152463404
2019-06-24,-1.333978232693959
2019-06-25,-1.2268128671505938
2019-06-26,-1.2115348233155372
2019-06-27,-1.2678479547802246
2019-06-28,-1.271569031632316
2019-06-29,-1.3060443158497517
2019-06-30,-1.2087551269962384
