DATE,SentimentScore
2022-08-01,-1.1897167263571153
2022-08-02,-1.2773861655033998
2022-08-03,-1.1696957139013673
2022-08-04,-1.303106206651231
2022-08-05,-1.4430360870094618
2022-08-06,-1.6798884234799043
2022-08-07,-1.5994610540399699
2022-08-08,-1.127809760754534
2022-08-09,-1.093291788985893
2022-08-10,-1.1646242175037043
2022-08-11,-1.2159224617445124
2022-08-12,-1.257960443204207
2022-08-13,-1.5705598647067385
2022-08-14,-1.519809249393694
2022-08-15,-1.1896122743683595
2022-08-16,-1.0931873437906137
2022-08-17,-1.1114813487295951
2022-08-18,-1.2132597572494646
2022-08-19,-1.3225799754455112
2022-08-20,-1.6329866380488622
2022-08-21,-1.5839379026884144
2022-08-22,-1.2604152320877116
2022-08-23,-1.3205051851667218
2022-08-24,-1.2142629825363123
2022-08-25,-1.1519700690654375
2022-08-26,-1.1434651626898067
2022-08-27,-1.3654976883818264
2022-08-28,-1.3922792255850298
2022-08-29,-1.1671712238683425
2022-08-30,-1.2178304884101456
2022-08-31,-1.0800007219061332
