DATE,SentimentScore
2018-04-01,-1.5867289887257507
2018-04-02,-1.3914419951183132
2018-04-03,-1.3619171659337728
2018-04-04,-1.3198512027078835
2018-04-05,-1.227450296395748
2018-04-06,-1.3946595547872718
2018-04-07,-1.5385262364011636
2018-04-08,-1.5518320344121612
2018-04-09,-1.4331630022365964
2018-04-10,-1.3054006963829838
2018-04-11,-1.3428010593653057
2018-04-12,-1.2802518295596732
2018-04-13,-1.455326982550394
2018-04-14,-1.946137565667596
2018-04-15,-1.5330676998492143
2018-04-16,-1.3071957992885639
2018-04-17,-1.2183812076768508
2018-04-18,-1.064478266030844
2018-04-19,-1.021714323244299
2018-04-20,-1.2661614947125406
2018-04-21,-1.385031370758866
2018-04-22,-1.36436711564085
2018-04-23,-1.163179924866468
2018-04-24,-1.140299852007653
2018-04-25,-1.209231051109635
2018-04-26,-1.207195162293788
2018-04-27,-1.129342402447855
2018-04-28,-1.3682978976044073
2018-04-29,-1.1727951220319635
2018-04-30,-1.1064191752961865
