DATE,SentimentScore
2022-05-01,-1.2065998673620728
2022-05-02,-1.090008077806578
2022-05-03,-1.0600489357102145
2022-05-04,-1.0722569499696806
2022-05-05,-1.1015584338155873
2022-05-06,-1.2200916671930284
2022-05-07,-1.4013725885013266
2022-05-08,-1.2940526057371733
2022-05-09,-1.1636052535751966
2022-05-10,-1.1411914689527678
2022-05-11,-1.1362138559905104
2022-05-12,-1.086354151720791
2022-05-13,-1.2554901737221942
2022-05-14,-1.4624250571658284
2022-05-15,-1.478513217476782
2022-05-16,-1.1374364811634488
2022-05-17,-1.185658537816574
2022-05-18,-1.1423869779585696
2022-05-19,-1.1183593442376962
2022-05-20,-1.1175431849756732
2022-05-21,-1.3119875717998963
2022-05-22,-1.2805105832722485
2022-05-23,-1.1616329391754254
2022-05-24,-1.076108882641731
2022-05-25,-1.2845133284566563
2022-05-26,-1.2204002074009028
2022-05-27,-1.2929377555903383
2022-05-28,-1.4466529104591017
2022-05-29,-1.3015484637265766
2022-05-30,-1.1111997742775819
2022-05-31,-1.048346214932897
