DATE,SentimentScore
2019-10-01,-1.205418183349161
2019-10-02,-1.304074610625965
2019-10-03,-1.2842602480030478
2019-10-04,-1.4230371878400747
2019-10-05,-1.7109207119964
2019-10-06,-1.6518179924429857
2019-10-07,-1.2292031540778126
2019-10-08,-1.1815463446863628
2019-10-09,-1.3083005802114027
2019-10-10,-1.325158999135865
2019-10-11,-1.3185638404382403
2019-10-12,-1.553562049075682
2019-10-13,-1.5291299042935933
2019-10-14,-1.1569280634307844
2019-10-15,-1.1996009835759365
2019-10-16,-1.2074785528100882
2019-10-17,-1.109864601692415
2019-10-18,-1.3114472956919128
2019-10-19,-1.601295913706216
2019-10-20,-1.5297665528372517
2019-10-21,-1.1435417749395196
2019-10-22,-1.112613892027078
2019-10-23,-1.2140179218684477
2019-10-24,-1.1064258987835673
2019-10-25,-1.1747105836390046
2019-10-26,-1.5478331323171295
2019-10-27,-1.6937575711792225
2019-10-28,-1.17509209376125
2019-10-29,-1.2145029698763443
2019-10-30,-1.1867744166217822
2019-10-31,-1.228168589978362
