DATE,SentimentScore
2020-03-01,-1.5859847373917209
2020-03-02,-1.3800836879415521
2020-03-03,-1.3272676475421326
2020-03-04,-1.1753097134377495
2020-03-05,-1.3639467429421668
2020-03-06,-1.4632903499444339
2020-03-07,-1.544729457112
2020-03-08,-1.4374700737879949
2020-03-09,-1.5396765274528912
2020-03-10,-1.5024641602062743
2020-03-11,-1.6313036597153192
2020-03-12,-1.849815395742629
2020-03-13,-1.8259665707127637
2020-03-14,-1.9238806826530108
2020-03-15,-1.9004622687595512
2020-03-16,-1.807250222272818
2020-03-17,-1.74771539822769
2020-03-18,-1.6871632037257605
2020-03-19,-1.731067884530689
2020-03-20,-1.7874505558662481
2020-03-21,-1.830451241728286
2020-03-22,-2.0791640124438797
2020-03-23,-1.8246728368036804
2020-03-24,-1.7479854084217743
2020-03-25,-1.7439832458532551
2020-03-26,-1.742513907074843
2020-03-27,-1.7598604881854125
2020-03-28,-1.9990244951050986
2020-03-29,-2.2095879956683038
2020-03-30,-1.7846543742912628
2020-03-31,-1.6472244341682387
