DATE,SentimentScore
2025-02-01,-1.3666846117787603
2025-02-02,-1.3090450260534487
2025-02-03,-0.9142463301089578
2025-02-04,-1.0610761919830476
2025-02-05,-0.9849010525468502
2025-02-06,-0.9843424118371705
2025-02-07,-1.0201508386380775
2025-02-08,-1.0450488758550656
2025-02-09,-1.2616845227930265
2025-02-10,-1.0406684616906903
2025-02-11,-1.176142043444407
2025-02-12,-0.9488613157182634
2025-02-13,-0.859922850204574
2025-02-14,-1.0719694995135336
2025-02-15,-1.4348447675310145
2025-02-16,-1.1010251292921884
2025-02-17,-1.0037028794435336
2025-02-18,-1.0198295769103778
2025-02-19,-1.111369760916119
2025-02-20,-1.005425830429426
2025-02-21,-1.2618269685728236
2025-02-22,-1.3706374702672708
2025-02-23,-1.1379048842620225
2025-02-24,-0.7617350635535903
2025-02-25,-0.929433739119691
2025-02-26,-0.7934930212984191
2025-02-27,-0.9175592650813211
2025-02-28,-1.0070562866563504
