DATE,SentimentScore
2021-01-01,-1.2595964743338626
2021-01-02,-1.6746485955369887
2021-01-03,-1.633747978155269
2021-01-04,-1.297380926442462
2021-01-05,-1.1560834013410626
2021-01-06,-1.3037135989665352
2021-01-07,-2.101658479077041
2021-01-08,-1.8770493175637086
2021-01-09,-2.103699690362714
2021-01-10,-2.03464498726346
2021-01-11,-1.5181330861882456
2021-01-12,-1.4765140025165375
2021-01-13,-1.6586236288716552
2021-01-14,-1.5897453131290618
2021-01-15,-1.432730270167619
2021-01-16,-1.5193488532814527
2021-01-17,-1.7554948337368088
2021-01-18,-1.3862263509500403
2021-01-19,-1.1400530769422568
2021-01-20,-0.918921121977843
2021-01-21,-0.8668911371578364
2021-01-22,-1.181678905073779
2021-01-23,-1.4880075494423137
2021-01-24,-1.506569890082952
2021-01-25,-1.1691609739968685
2021-01-26,-1.1636121279278293
2021-01-27,-1.1854085295657948
2021-01-28,-1.1481657035089639
2021-01-29,-1.1582147958534774
2021-01-30,-1.3815975275871555
2021-01-31,-1.4965228427032948
