DATE,SentimentScore
2022-08-01,-1.1099157061454084
2022-08-02,-1.2004725152935514
2022-08-03,-1.078033929881423
2022-08-04,-1.2066995715669588
2022-08-05,-1.3568708154490292
2022-08-06,-1.6243584471062198
2022-08-07,-1.5964706799680817
2022-08-08,-1.1337785075843112
2022-08-09,-1.0457044342199264
2022-08-10,-1.075929012392239
2022-08-11,-1.1218423253214784
2022-08-12,-1.1596919509820274
2022-08-13,-1.4904185144772137
2022-08-14,-1.5454405468025376
2022-08-15,-1.0733547452643553
2022-08-16,-0.9940110965831893
2022-08-17,-1.025133614360333
2022-08-18,-1.116624677984392
2022-08-19,-1.243610881993021
2022-08-20,-1.5365908214926038
2022-08-21,-1.517890540220616
2022-08-22,-1.1579412316057751
2022-08-23,-1.2210428380472775
2022-08-24,-1.1165875116762962
2022-08-25,-1.074961859737166
2022-08-26,-1.0918900856832625
2022-08-27,-1.2805970979500068
2022-08-28,-1.2807733023792436
2022-08-29,-1.065489011628618
2022-08-30,-1.1555117274330382
2022-08-31,-1.0303515284806333
