DATE,SentimentScore
2019-07-01,-1.1356608348099986
2019-07-02,-1.2027951551085594
2019-07-03,-1.2299930402030412
2019-07-04,-1.1879974399475393
2019-07-05,-1.0897208544051618
2019-07-06,-1.3096920982931697
2019-07-07,-1.2853993124151917
2019-07-08,-1.1515723353984768
2019-07-09,-1.1193871739728147
2019-07-10,-1.0972784870986196
2019-07-11,-1.2761444474290526
2019-07-12,-1.4669403514372663
2019-07-13,-1.8028181273875048
2019-07-14,-1.7543584132556223
2019-07-15,-1.3904125152843763
2019-07-16,-1.3009713450091813
2019-07-17,-1.3170229696112972
2019-07-18,-1.271644830088232
2019-07-19,-1.3453437219074131
2019-07-20,-1.4614161848153284
2019-07-21,-1.3096193022981741
2019-07-22,-1.2403661811986733
2019-07-23,-1.1553799797740356
2019-07-24,-1.0814160544154405
2019-07-25,-1.1862175601077731
2019-07-26,-1.0790256472777886
2019-07-27,-1.5165636317677869
2019-07-28,-1.5126524779067485
2019-07-29,-1.2823620808862077
2019-07-30,-1.340596674178147
2019-07-31,-1.2424421129407202
