DATE,SentimentScore
2021-07-01,-1.0507221424641744
2021-07-02,-1.2664449912285403
2021-07-03,-1.4595606292924423
2021-07-04,-1.4321208040310824
2021-07-05,-1.160576461808977
2021-07-06,-1.1549236308813169
2021-07-07,-1.2064038602920224
2021-07-08,-1.1045987777158428
2021-07-09,-1.1482847835450143
2021-07-10,-1.3440317647196907
2021-07-11,-1.4209309032122681
2021-07-12,-1.1825661043866813
2021-07-13,-1.1767096595103264
2021-07-14,-1.12124882516153
2021-07-15,-1.0860387494514974
2021-07-16,-1.3160676784004572
2021-07-17,-1.6702462744925364
2021-07-18,-1.625032065411496
2021-07-19,-1.2990977389218694
2021-07-20,-1.1879874374235935
2021-07-21,-1.1656371630331104
2021-07-22,-1.221269542349797
2021-07-23,-1.2117434120396715
2021-07-24,-1.5201537869345043
2021-07-25,-1.4518794348295538
2021-07-26,-1.2503833332279854
2021-07-27,-1.2062428136802599
2021-07-28,-1.0247155710244775
2021-07-29,-0.906185227373301
2021-07-30,-1.1456911282897506
2021-07-31,-1.4899077735621167
